SAG_mpr_1mm
SAG T1 MPRAGE
t1_mprage_sag_p2_iso_1.0
t1_mpr_ns_sag
t1_mpr_1mm_p2
MPRAGE
t1_se_tra_POST
t1_se_sag_POST
t1_mprage_sag_isoWU
t1_mpr_1mm_p2_pos50_S2_DIS2D
t1_mpr_1mm_p2_pos50
t1_mpr_1mm_p2
Sagittal MP-Rage
Sagittal 3D Accelerated T1
Sag T1 SE
SAG MPRAGE
SAG 3D T1 FSPGR
SAG 3D FSPGR
MPRAGE GRAPPA2
Ax T1 SE
AX T1
Accelerated Sagittal MPRAGE
FLAIR
